"documents.authors"	"documents.contents"	"documents.datetime"	"documents.isbn"	"documents.price"	"documents.publisher"	"documents.sale_price"	"documents.status"	"documents.thumbnail"	"documents.title"	"documents.translators"	"documents.url"	"meta.is_end"	"meta.pageable_count"	"meta.total_count"
이토 고이치로	의미 없는 숫자의 나열에 불과해 보이는 데이터가 어떻게 똑똑한 전략, 세상을 바꾸는 정책으로 진화하게 되는지 생생하게 보여주는 『데이터 분석의 힘』. 미국 시카고대학교 해리스스쿨(공공정책대학원)의 촉망 받는 경제학자 이토 고이치로 교수가 최신 데이터 분석 이론을 수식 없이 쉽게 풀어낸, 빅데이터 시대를 위한 데이터 분석 입문서이다.  인과 분석에 관한 데이터 분석의 최신 이론들, 즉 RCT · RD디자인 · 집군 분석 · 패널 데이터 분석법 등 듣기	2018-08-31T00:00:00.000+09:00	1186560797 9791186560792	14800	인플루엔셜	13320	정상판매	https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F3755841%3Ftimestamp%3D20210510135650	데이터 분석의 힘	전선영	https://search.daum.net/search?w=bookpage&bookId=3755841&q=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D%EC%9D%98+%ED%9E%98	FALSE	736	736
송인식	▶ 이 책은 탐색적 자료분석(EDA)-데이터 분석에 대해 다룬 도서입니다. 기업경영의 기초적이고 전반적인 내용을 확인할 수 있도록 구성했습니다.	2018-02-19T00:00:00.000+09:00	8926882500 9788926882504	38000	이담북스	34200	정상판매	https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F444625%3Ftimestamp%3D20210406141708	탐색적 자료분석(EDA)-데이터 분석(Be the Solver)	character(0)	https://search.daum.net/search?w=bookpage&bookId=444625&q=%ED%83%90%EC%83%89%EC%A0%81+%EC%9E%90%EB%A3%8C%EB%B6%84%EC%84%9D%28EDA%29-%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D%28Be+the+Solver%29	FALSE	736	736
김영우	데이터 분석을 처음 시작한 초보자도 어깨춤을 추며 데이터를 혼자 다룰 수 있게 한다는 강의가 책으로 출간되었다. 통계, 프로그래밍, 데이터 분석을 전혀 몰라도 「Do it! 쉽게 배우는 R 데이터 분석」을 통해 R로 최근 주목받고 있는 데이터 분석 기법들을 재미있게 배울 수 있다. 이 책은 데이터 정제, 가공, 분석부터 그래프 그리기까지 실제 현업에서 데이터 분석 프로젝트를 할 때와 같은 모든 과정을 직접 해볼 수 있다. 쉬운 예제부터 차근차근 실습	2017-07-20T00:00:00.000+09:00	1187370940 9791187370949	20000	이지스퍼블리싱	18000	정상판매	https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1640762%3Ftimestamp%3D20210510134206	Do it! 쉽게 배우는 R 데이터 분석	character(0)	https://search.daum.net/search?w=bookpage&bookId=1640762&q=Do+it%21+%EC%89%BD%EA%B2%8C+%EB%B0%B0%EC%9A%B0%EB%8A%94+R+%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D	FALSE	736	736
웨스 맥키니	『파이썬 라이브러리를 활용한 데이터 분석』은 NumPy, pandas, matplotlib, IPython 등의 다양한 파이썬 라이브러리를 사용해서 효과적으로 데이터를 분석할 수 있게 알려준 책이다. 연대별 이름 통계 자료, 미 대선 데이터베이스 자료를 기반으로 한 실제 사례 연구를 따라하다 보면 어느덧 데이터에 알맞게 접근하고 효과적으로 분석할 수 있게 된다.	2013-10-01T00:00:00.000+09:00	8968480478 9788968480478	33000	한빛미디어	29700	정상판매	https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F944468%3Ftimestamp%3D20210111133757	파이썬 라이브러리를 활용한 데이터 분석(수정개정판)	김영근	https://search.daum.net/search?w=bookpage&bookId=944468&q=%ED%8C%8C%EC%9D%B4%EC%8D%AC+%EB%9D%BC%EC%9D%B4%EB%B8%8C%EB%9F%AC%EB%A6%AC%EB%A5%BC+%ED%99%9C%EC%9A%A9%ED%95%9C+%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D%28%EC%88%98%EC%A0%95%EA%B0%9C%EC%A0%95%ED%8C%90%29	FALSE	736	736
윤종식	본 도서는 한국데이터베이스진흥원에서 실시하고 있는 『데이터 분석 전문가(ADP)』 자격증과 『데이터 분석 준전문가(ADsP)』 자격증을 준비하는 수험생들을 위한 도서이다. 2014년 4월 이후 시행된 자격증 시험의 기출문제를 분석하여 문제의 의도와 유형을 파악하여 중요한 내용을 표와 그림을 위주로 1과목 데이터의 이해, 2과목 데이터 분석 기획 그리고 3과목 데이터 분석의 내용을 정리하였다. 각 장에는 온라인/오프라인 강의에서 언급한 출제경향을 따로	2017-12-20T00:00:00.000+09:00	119548013X 9791195480135	31000	데이터에듀	27900	정상판매	https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1664307%3Ftimestamp%3D20210426131840	데이터 분석 준전문가(2018)	character(0)	https://search.daum.net/search?w=bookpage&bookId=1664307&q=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D+%EC%A4%80%EC%A0%84%EB%AC%B8%EA%B0%80%282018%29	FALSE	736	736
한국데이터진흥원	『데이터분석 자격검정 실전문제』는 전문가 자격시험을 대비하기 위해서 데이터분석 전문가 가이드(2014년 Edition) 기준의 실전문제를 수록하여 시험준비에 도움이 되고자 제작하였다.	2017-02-14T00:00:00.000+09:00	8988474856 9788988474853	15000	한국데이터진흥원	13500	정상판매	https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1274168%3Ftimestamp%3D20210510134059	데이터분석 자격검정 실전문제	character(0)	https://search.daum.net/search?w=bookpage&bookId=1274168&q=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D+%EC%9E%90%EA%B2%A9%EA%B2%80%EC%A0%95+%EC%8B%A4%EC%A0%84%EB%AC%B8%EC%A0%9C	FALSE	736	736
한국데이터베이스진흥원 편집부	『데이터 분석 전문가 가이드(ADP)(ADsP)』는 데이터 분석 전문가 양성을 위한 지침서로 산 ㆍ 학의 전문가들과 직무분석 결과와 실무 전문가들의 경험을 바탕으로 데이터의 이해, 처리기술, 분석 기획에서부터 분석과 시각화까지 데이터 분석 전문가에게 요구되는 지식과 기술을 폭넓고 상세하게 제시하였다.	2020-05-11T00:00:00.000+09:00	898847483X 9788988474839	50000	한국데이터산업진흥원	47500	정상판매	https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1274260%3Ftimestamp%3D20210510134505	데이터 분석 전문가 가이드(ADP)(ADsP)(개정판)(양장본 HardCover)	character(0)	https://search.daum.net/search?w=bookpage&bookId=1274260&q=%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D+%EC%A0%84%EB%AC%B8%EA%B0%80+%EA%B0%80%EC%9D%B4%EB%93%9C%28ADP%29%28ADsP%29%28%EA%B0%9C%EC%A0%95%ED%8C%90%29%28%EC%96%91%EC%9E%A5%EB%B3%B8+HardCover%29	FALSE	736	736
다니엘 첸	전 세계 최대 규모의 파이썬 과학 콘퍼런스 사이파이(SciPy)에서 ‘판다스 튜토리얼 강의’를 진행하고 있는 저자의 손을 잡고 데이터 분석과 판다스에 빠르게 입문하세요. 파이썬 기초 문법만 알아도 괜찮습니다. 저자의 강의 노하우가 담긴 86개의 예제로 직접 키보드 잡고 배워 보세요. 테슬라 주식, 우버 택시, 빌보드 차트 등의 현실 데이터를 직접 분석하다 보면 쉽고 빠르게 판다스의 기본기가 완성됩니다.	2018-10-18T00:00:00.000+09:00	1163030287 9791163030287	17000	이지스퍼블리싱	15300	정상판매	https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F3761861%3Ftimestamp%3D20210510133625	Do it! 데이터 분석을 위한 판다스 입문	김영하	https://search.daum.net/search?w=bookpage&bookId=3761861&q=Do+it%21+%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D%EC%9D%84+%EC%9C%84%ED%95%9C+%ED%8C%90%EB%8B%A4%EC%8A%A4+%EC%9E%85%EB%AC%B8	FALSE	736	736
c("민인식", "최필선")	『STATA 패널데이터 분석』은 STATA의 기본 명령문과 기초적인 통계분석 방법에 어느 정도 익숙한 독자들을 가정하여 기획한 책이다. 이론적인 측면은 핵심 개념만을 소개하고, 그 대신 실제 데이터를 분석할 때 사용하는 STATA 명령문과 그 결과를 설명하는 것에 주안점을 두었다.	2012-02-10T00:00:00.000+09:00	8997394010 9788997394012	25000	지필미디어	25000	정상판매	https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1488956%3Ftimestamp%3D20200717134811	STATA 패널데이터 분석(양장본 HardCover)	character(0)	https://search.daum.net/search?w=bookpage&bookId=1488956&q=STATA+%ED%8C%A8%EB%84%90%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D%28%EC%96%91%EC%9E%A5%EB%B3%B8+HardCover%29	FALSE	736	736
클린턴 브라운리	엑셀은 쉽고 직관적이지만 수백 개의 파일을 다루기는 무리다. 파이썬을 이용하면 엑셀의 한계를 넘어 다양한 형식의 데이터를 가공하고 수많은 파일을 분석할 수 있다. 이 책은 일반인을 위한 파이썬 기초부터 CSV, 엑셀, 데이터베이스의 데이터를 분석하는 파이썬 코드 작성법까지 친절하게 알려준다. 파일 파싱, 그룹화, 통계 산출, 시각화에 필요한 각종 파이썬 라이브러리도 함께 알아본다. 데이터 분석 고수가 되겠다는 의지가 있다면 프로그래밍 경험은 필요 없다	2017-10-25T00:00:00.000+09:00	1162240148 9791162240144	27000	한빛미디어	24300	정상판매	https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1603468%3Ftimestamp%3D20210510132156	파이썬 데이터 분석 입문	한창진	https://search.daum.net/search?w=bookpage&bookId=1603468&q=%ED%8C%8C%EC%9D%B4%EC%8D%AC+%EB%8D%B0%EC%9D%B4%ED%84%B0+%EB%B6%84%EC%84%9D+%EC%9E%85%EB%AC%B8	FALSE	736	736
