Season,Player,Age,Tm,G,MP,PT,TRB,AST,STL,BLK,FG%,3P%,FT%,MVP
1956,Bob Pettit,23,STL,72,2794,25.7,16.2,2.6,,,0.429,,0.736,1
1957,Bob Cousy,28,BOS,64,2483,20.6,4.8,7.5,,,0.378,,0.821,1
1958,Bill Russell,23,BOS,69,2677,16.6,22.7,2.9,,,0.442,,0.519,1
1959,Bob Pettit,26,STL,72,2794,29.2,16.4,3.1,,,0.438,,0.759,1
1960,Wilt Chamberlain,23,PHW,72,2794,37.6,27,2.3,,,0.461,,0.582,1
1961,Bill Russell,26,BOS,78,3026,16.9,23.9,3.4,,,0.426,,0.55,1
1962,Bill Russell,27,BOS,76,2949,18.9,23.6,4.5,,,0.457,,0.595,1
1963,Bill Russell,28,BOS,78,3026,16.8,23.6,4.5,,,0.432,,0.555,1
1964,Oscar Robertson,25,CIN,79,3065,31.4,9.9,11,,,0.483,,0.853,1
1965,Bill Russell,30,BOS,78,3026,14.1,24.1,5.3,,,0.438,,0.573,1
1966,Wilt Chamberlain,29,PHI,79,3065,33.5,24.6,5.2,,,0.54,,0.513,1
1967,Wilt Chamberlain,30,PHI,81,3143,24.1,24.2,7.8,,,0.683,,0.441,1
1968,Wilt Chamberlain,31,PHI,82,3182,24.3,23.8,8.6,,,0.595,,0.38,1
1969,Wes Unseld,22,BAL,82,3182,13.8,18.2,2.6,,,0.476,,0.605,1
1970,Willis Reed,27,NYK,81,3143,21.7,13.9,2,,,0.507,,0.756,1
1971,Kareem Abdul-Jabbar,23,MIL,82,3182,31.7,16,3.3,,,0.577,,0.69,1
1972,Kareem Abdul-Jabbar,24,MIL,81,3143,34.8,16.6,4.6,,,0.574,,0.689,1
1973,Dave Cowens,24,BOS,82,3182,20.5,16.2,4.1,,,0.452,,0.779,1
1974,Kareem Abdul-Jabbar,26,MIL,81,3143,27,14.5,4.8,1.4,3.5,0.539,,0.702,1
1975,Bob McAdoo,23,BUF,82,3182,34.5,14.1,2.2,1.1,2.1,0.512,,0.805,1
1976,Kareem Abdul-Jabbar,28,LAL,82,3182,27.7,16.9,5,1.5,4.1,0.529,,0.703,1
1977,Kareem Abdul-Jabbar,29,LAL,82,3182,26.2,13.3,3.9,1.2,3.2,0.579,,0.701,1
1978,Bill Walton,25,POR,58,2250,18.9,13.2,5,1,2.5,0.522,,0.72,1
1979,Moses Malone,23,HOU,82,3182,24.8,17.6,1.8,1,1.5,0.54,,0.739,1
1980,Kareem Abdul-Jabbar,32,LAL,82,3182,24.8,10.8,4.5,1,3.4,0.604,0,0.765,1
