년_월,국가,방문자 수,전년 동월 대비 성장률,동월 구성 비율 ,남자,여자,관광,사업,공무,유학,기타,20대 미만,20대,30대,40대,50대,60대 이상
19-01,China,392814,28.73786981,35.55511707,147511,231722,320113,2993,138,8793,60777,36520,108591,103657,48574,40893,40998
19-01,Japan,206526,23.60683014,18.69346843,75070,129029,198805,2233,127,785,4576,18015,57921,34165,39811,33857,20330
19-01,Taiwan,87954,16.00369296,7.961057311,30805,56202,86393,74,22,180,1285,18888,17927,18595,18862,8169,4566
19-01,Hong Kong,35896,3.533212195,3.249086036,12172,22729,34653,59,2,90,1092,3890,11384,7400,5461,4629,2137
19-01,Macao,2570,-12.37640641,0.232620657,748,1787,2506,2,0,17,45,223,1013,762,264,181,92
19-01,Phillipines,30473,0.062389177,2.758229295,10460,7295,14279,211,161,184,15638,1436,5051,5486,3140,1831,811
19-01,Indonesia,18842,10.61406599,1.705462422,7295,8289,14183,136,38,187,4298,2732,4213,3643,2895,1488,613
19-01,Thailand,41334,-8.026078636,3.741300485,12205,23730,34004,37,199,96,6998,3310,10977,10551,5821,3403,1873
19-01,Vietnam,20183,23.93613755,1.826841527,7457,7559,10739,763,110,1667,6904,1824,5484,4200,1963,1095,450
19-01,India,8671,16.84409109,0.784845805,5123,907,2318,2656,46,177,3474,258,1421,2310,1322,522,197
19-01,Malaysia,22065,-0.217066884,1.997188639,8240,11276,19043,95,7,99,2821,2923,6643,4546,2689,1946,769
19-01,Singapore,9855,1.976407285,0.892014232,4175,4450,8372,94,8,48,1333,670,2276,2044,1771,1342,522
19-01,Mongolia,9785,-9.339386639,0.885678261,4624,5114,8358,77,304,484,562,1551,1807,2840,2105,970,465
19-01,Uzbekistan,5754,5.947339348,0.520816833,3863,1426,1958,561,0,407,2828,233,1614,1896,949,394,203
19-01,Myanmar,5289,-11.67334669,0.478727882,2290,250,1304,10,31,67,3877,27,1070,994,324,108,17
19-01,*GCC,1776,-1.606648199,0.160752641,1132,612,1550,37,14,72,103,247,477,521,289,140,70
19-01,Kazakhstan,3574,-9.33536276,0.323496587,1521,1748,2185,24,7,92,1266,343,928,857,479,402,260
