visitor,tourism,business,official affairs,studying,others,age0-20,age21-30,age31-40,age41-50,age51-60,age61
392814,320113,2993,138,8793,60777,36520,108591,103657,48574,40893,40998
206526,198805,2233,127,785,4576,18015,57921,34165,39811,33857,20330
87954,86393,74,22,180,1285,18888,17927,18595,18862,8169,4566
35896,34653,59,2,90,1092,3890,11384,7400,5461,4629,2137
2570,2506,2,0,17,45,223,1013,762,264,181,92
30473,14279,211,161,184,15638,1436,5051,5486,3140,1831,811
18842,14183,136,38,187,4298,2732,4213,3643,2895,1488,613
41334,34004,37,199,96,6998,3310,10977,10551,5821,3403,1873
20183,10739,763,110,1667,6904,1824,5484,4200,1963,1095,450
8671,2318,2656,46,177,3474,258,1421,2310,1322,522,197
22065,19043,95,7,99,2821,2923,6643,4546,2689,1946,769
9855,8372,94,8,48,1333,670,2276,2044,1771,1342,522
9785,8358,77,304,484,562,1551,1807,2840,2105,970,465
5754,1958,561,0,407,2828,233,1614,1896,949,394,203
5289,1304,10,31,67,3877,27,1070,994,324,108,17
1776,1550,37,14,72,103,247,477,521,289,140,70
3574,2185,24,7,92,1266,343,928,857,479,402,260
1785,792,13,32,36,912,57,239,300,206,89,24
2695,635,39,55,51,1915,124,1392,685,109,58,28
1287,157,54,5,28,1043,13,373,550,151,31,8
1247,149,126,27,97,848,26,342,403,123,48,12
1032,238,178,10,193,413,62,328,378,147,67,17
805,727,12,0,9,57,19,80,170,223,120,178
184,60,45,10,23,46,9,30,73,39,12,6
4554,1561,308,70,205,2410,247,1605,1349,500,209,108
62737,42989,418,2578,229,16523,5601,10672,10618,10137,11530,8972
12460,8034,57,30,43,4296,959,2190,2299,1847,2184,1722
1605,1136,16,9,41,403,215,389,357,213,92,53
1853,1282,11,7,38,515,153,388,353,239,174,88
2266,1541,24,33,128,540,195,666,491,248,159,110
25194,17260,181,37,191,7525,2569,4480,5325,3866,2520,1299
10148,7982,175,17,41,1933,923,1669,1801,1682,1695,1623
6850,4925,278,19,177,1451,357,1074,1414,1217,1377,502
5574,3773,297,48,288,1168,437,1316,1151,1135,704,238
2731,1968,83,17,40,623,79,369,581,651,417,155
2269,1592,47,16,77,537,108,472,319,398,394,133
2262,593,58,3,28,1580,36,275,243,132,118,34
1368,1010,36,15,52,255,61,312,348,281,154,58
872,412,8,4,3,445,57,92,128,89,65,13
801,552,66,4,28,151,41,168,139,139,144,57
982,844,29,6,18,85,69,217,187,206,196,69
1324,713,10,0,27,574,35,214,284,168,61,39
747,613,18,0,19,97,41,166,120,128,164,81
564,416,14,0,13,121,27,142,119,88,73,18
776,544,8,2,13,209,33,151,144,129,114,78
859,412,23,1,18,405,20,127,116,100,82,24
709,490,24,4,22,169,28,134,142,133,129,39
491,226,12,0,3,250,6,57,74,58,46,12
775,481,17,4,0,273,7,95,164,130,72,51
431,154,1,1,10,265,3,38,49,46,28,15
751,520,21,6,16,188,56,130,101,168,124,52
595,392,15,1,2,185,23,140,151,105,77,46
2965,1809,44,25,91,996,187,533,556,428,261,144
14285,12795,93,17,34,1346,3194,3154,2068,2471,1937,1165
2725,2029,20,17,5,654,438,611,484,350,442,239
614,555,3,4,0,52,68,124,199,106,48,27
1000,368,9,1,6,616,36,371,236,94,59,47
2690,768,718,90,206,908,68,630,671,403,186,51
