year,class_1,class_2,case_num,less_500,over_500,over_1000,over_1500,over_2000,over_3000,over_max,avg_ex
2014,전체,소계,12024,15.3,24.7,21.1,13.3,11.7,12.1,1.8,1605.5
2014,월별,1월,717,15.9,30.5,19.1,13,6.5,12.3,2.8,1575.5
2014,월별,2월,771,20.3,27.8,18.3,12.7,8.7,9.8,2.5,1475.1
2014,월별,3월,968,16.8,26.9,19.4,12.6,11.5,11.5,1.3,1600
2014,월별,4월,1060,16.7,21.3,23.1,11.5,13.8,11.8,1.8,1631
2014,월별,5월,1042,18.8,25.7,23.2,10,9.4,10,2.8,1440
2014,월별,6월,1022,13.6,24.6,22.1,13.1,9.2,16.2,1.3,1756
2014,월별,7월,1124,13,24.5,20.6,18.5,11.9,9.9,1.6,1590.5
2014,월별,8월,1213,12.5,24.6,25.7,15.9,11.9,8.2,1.2,1465.4
2014,월별,9월,1051,15.6,20.9,18.6,14.7,14,14.5,1.7,1748.1
2014,월별,10월,1133,15.8,23.4,19,14.3,13.6,11.6,2.4,1567.9
2014,월별,11월,972,15.8,24.5,19.9,9.5,13.6,15.3,1.3,1723
2014,월별,12월,951,11.2,24.6,22.8,11.9,13.5,14.6,1.4,1689.7
2014,거주국,일본,2180,27.2,42.8,15.6,4.7,4.1,3.6,2,999.1
2014,거주국,중국,5379,3.4,15.5,24.6,18.9,16.9,19.1,1.7,2094.5
2014,거주국,홍콩,536,8.7,33.4,27.7,14.2,11.4,4.4,0.3,1338.2
2014,거주국,싱가포르,181,13,20.2,16.9,13.7,19.4,15.6,1.1,1819.5
2014,거주국,대만,619,12.1,32.7,30.3,13.3,7,4,0.6,1249.2
2014,거주국,태국,399,15.7,29.3,26.8,13.9,8.7,5,0.7,1251.9
2014,거주국,말레이시아,221,15.4,21.9,26.1,13.6,13.5,8.4,1,1462
2014,거주국,호주,125,33.1,31.3,15,6.9,6.5,6.2,0.9,1066.9
2014,거주국,미국,696,32.6,27.7,13.8,9.3,7.7,7,1.9,1185
2014,거주국,캐나다,130,37.3,24.4,14.2,9,7.1,7.7,0.2,1123.2
2014,거주국,영국,110,34.8,29.3,16.2,9,5.2,5.2,0.3,1019
2014,거주국,독일,86,32,28.2,19.2,8.9,5.2,5.2,1.1,1044.7
2014,거주국,프랑스,71,30,23.8,18.1,9.2,10.3,7.4,1.1,1228
2014,거주국,러시아,158,34.1,22.7,11.1,6.8,9.5,14.1,1.7,1510.3
2014,거주국,중동전체,137,12.3,8,5.9,3.5,13.7,34.4,22.2,3056
2014,거주국,인도,66,33.3,25.9,13.7,12,5.9,8.6,0.5,1250.5
2014,거주국,기타,930,35.9,23.6,14.5,8,8,7.8,2.2,1211.4
2014,성별,남성,5368,20.6,24.6,20.1,11.9,10,10.9,1.9,1488
2014,성별,여성,6656,11.1,24.8,22,14.4,13,13,1.7,1700
2014,연령,15~20세,702,11.8,29.3,22.3,16.3,9.8,9.8,0.7,1526.9
2014,연령,21~30세,4560,11.9,23.7,23.3,14.7,12.3,12.6,1.5,1674.4
2014,연령,31~40세,3282,14.8,22.4,19.9,13.5,12.4,14.9,2.1,1750.8
2014,연령,41~50세,1813,20.4,25.5,19.4,10.8,10.4,10.4,3.2,1461.4
2014,연령,51~60세,1203,19.1,29.2,19.8,10.9,12.4,7.2,1.4,1343.4
2014,연령,61세 이상,424,29.6,29.1,16.5,8.1,7.5,8.8,0.5,1249
2014,연령,모름/무응답,40,16.4,26.9,23.8,18.6,1.2,13.1,-1,1424
2014,방한목적,여가/위락/휴식,6982,8.6,24.3,25.5,16.1,13.4,11.1,1.1,1643.3
2014,방한목적,친구/친지방문,785,32.2,29.6,18,7.9,6.6,5.2,0.4,1097.6
2014,방한목적,사업/전문 활동,2387,34.4,26.3,13.3,7.8,7.2,8.3,2.8,1204.1
2014,방한목적,교육,429,13.2,19,10.6,10.8,14.9,25.9,5.5,2226.3
2014,방한목적,종교 순례,111,20.5,37.2,12.2,5.4,4.2,17.3,3.2,1702.7
2014,방한목적,기타,6,44.6,44.8,3.6,3.8,-1,3.3,-1,697.6
2014,방한목적,뷰티/건강/치료,122,9.4,11.3,14.5,8.3,11.5,29,16,2813.6
2014,방한목적,쇼핑,1201,6.7,22.7,19.1,13.6,13.2,22.8,2,2189.5
2014,여행형태,개별여행,8285,20,25.1,16.9,11.9,10.4,13.2,2.4,1592.2
2014,여행형태,단체여행,2998,4.6,20.3,31.6,17.3,15.5,10,0.6,1675.1
2014,여행형태,Air-tel Tour,741,6.3,37.6,26,12.7,9.7,7.7,0.1,1470.6
2014,방한횟수,1회,7832,12.1,22.3,23.7,15,12.9,12.5,1.5,1680.4
2014,방한횟수,2회,1551,15.7,26.8,18.5,14.4,10.9,12.5,1.3,1607.8
2014,방한횟수,3회,794,20.1,31.1,17.4,9.5,7.8,12.3,1.9,1488.6
2014,방한횟수,4회 이상,1848,26.8,30.3,14,6.6,8.9,9.7,3.7,1329.8
2014,직업,공무원 군인,636,16.1,23,23,13.8,12,10.9,1.1,1583.7
2014,직업,기업인 경영직,1309,25.7,23,18.6,11.1,9.1,11,1.4,1415.6
2014,직업,사무기술직,2546,14.1,26.6,22,13.8,12.2,9.9,1.3,1533.1
2014,직업,판매 서비스직,1484,12.5,27.2,24.6,13.1,9.9,12.2,0.6,1577.9
2014,직업,전문직,1207,20.7,22.5,19.6,11,12.1,12.5,1.6,1579.3
2014,직업,생산/기능/노무,524,18.5,23.5,19.5,16,10.9,9.1,2.6,1510.8
2014,직업,자영업자,949,10.8,14,14.7,13.2,16.5,23.8,7,2334.6
2014,직업,학생,1884,11.7,27.6,23.1,15.1,10.1,11,1.4,1558.3
2014,직업,주부,456,11.2,30.4,22.5,12,13,9,1.9,1468.2
2014,직업,은퇴자,199,17.4,33.6,15.9,13.8,10,9.3,-1,1375.3
2014,직업,무직,181,16.1,27.7,16.5,10,12.5,16.2,1,1858.6
2014,직업,기타,629,11.7,20.4,23.6,14.3,14.7,13,2.3,1714.4
2014,직업,무응답,19,8.5,37.9,11.9,-1,40.6,1.1,-1,1608.4
2015,전체,소계,12882,16.8,23.4,18.9,11.7,12.4,14.8,2.1,1712.5
2015,월별,1월,922,15.1,24.1,18.8,13.1,14.9,13.2,0.8,1682.8
2015,월별,2월,1061,16.6,20.7,20.8,13.8,15.9,11.2,1,1582.5
2015,월별,3월,1238,15.4,25.3,18,11.7,10.8,16.3,2.5,1733.4
2015,월별,4월,1363,14.6,23.3,20.9,13.3,11.9,13.9,2.1,1719.4
2015,월별,5월,1314,12.7,20.5,20.1,12,13.2,19.2,2.2,1969
2015,월별,6월,676,20.5,23.7,16.4,8.9,10.5,17.2,2.8,1761.3
2015,월별,7월,584,21.1,21.6,16.9,9.7,11.4,17.3,2,1771
2015,월별,8월,1001,19.6,22.8,20.8,10,13.2,11.4,2.1,1525.6
2015,월별,9월,1153,16.3,24.4,17.4,11.8,12.3,15.7,2.1,1739.2
2015,월별,10월,1333,17.1,23.7,19.8,11.8,12,13.8,1.8,1714.4
2015,월별,11월,1128,19.5,25.4,15.9,9.4,11.6,15.6,2.5,1668.1
2015,월별,12월,1109,17.6,24.1,18.2,13,11,13.5,2.8,1650.7
2015,거주국,일본,2007,35.1,41.6,13.2,4,3.5,2.2,0.3,826.9
2015,거주국,중국,6092,4.5,13.9,21.2,15.7,18.3,24.1,2.4,2319
2015,거주국,홍콩,574,13.2,25.7,25.9,15.3,10.2,6.5,3.2,1363.2
2015,거주국,싱가포르,164,15.1,27.9,20.8,13.6,11.2,10.8,0.6,1522.2
2015,거주국,대만,568,13.5,32.9,25.2,12.7,7.2,6.2,2.2,1313.6
2015,거주국,태국,359,23.4,39.6,20.4,7,3.5,4.6,1.6,1056.3
2015,거주국,말레이시아,230,26.1,31.7,17.6,10.1,7,4.6,2.8,1104.5
2015,거주국,호주,138,35,28.7,12.4,9.8,6.6,6.8,0.7,1177
2015,거주국,미국,799,34.9,26.3,13.2,7.1,9.3,7.1,2.1,1206.5
2015,거주국,캐나다,151,40.9,25.5,12.1,6.7,7.3,6.3,1.3,1034
2015,거주국,영국,120,28.8,27.2,18.2,10.4,7.6,5.9,1.9,1130.6
2015,거주국,독일,100,29,28.7,16.1,8.1,8.3,9.4,0.4,1241.8
2015,거주국,프랑스,85,19.7,32.5,18.1,9.7,9.3,10.1,0.5,1468.3
2015,거주국,러시아,154,33.7,22.6,12.9,7,7.4,12.6,3.7,1384.9
2015,거주국,중동전체,171,13.8,18.6,11.7,7.2,13.1,25.5,10.2,2245.5
2015,거주국,인도,74,25.8,26.4,15.4,11,8.1,11.1,2.3,1500
2015,거주국,기타,1098,27.3,24.5,17.3,9.6,10,9.6,1.9,1404.9
2015,성별,남성,5747,21.7,23.4,17.3,10.5,11.9,13.3,2,1589.5
2015,성별,여성,7135,12.8,23.3,20.2,12.7,12.8,16,2.1,1811.8
2015,연령,15~20세,666,17.9,29.9,19.4,8.7,10.7,11.9,1.4,1561.1
2015,연령,21~30세,5076,12.9,21.5,19.8,12.4,12.6,18.3,2.5,1903.8
2015,연령,31~40세,3487,16.3,21.2,19.8,12.4,12.4,15.7,2.3,1789.5
2015,연령,41~50세,1972,20.4,25.4,16.4,10.8,13.8,11.2,2,1501.1
2015,연령,51~60세,1158,25.1,29.8,15.3,11.7,11.3,6.3,0.6,1251.1
2015,연령,61세 이상,491,24.1,25.6,20.2,8.7,10.4,10.2,0.8,1373.3
2015,연령,모름/무응답,31,16.8,28.5,19.3,16.5,0.9,18.1,-1,1545
2015,방한목적,여가/위락/휴식,7293,10.7,24.3,22.5,13.7,13.7,13.9,1.3,1722.4
2015,방한목적,친구/친지방문,1177,36,24.7,13.7,7.7,9.5,7.3,1,1164.7
2015,방한목적,사업/전문 활동,2413,32.9,25.6,13.5,8.1,8.9,8.8,2.3,1288.1
2015,방한목적,교육,470,12.6,13,13.6,10.2,16.5,30.4,3.8,2543.4
2015,방한목적,종교 순례,89,42.4,22.3,3.9,0.7,20.2,8.6,1.8,1428.9
2015,방한목적,기타,5,59.9,26.5,-1,-1,-1,13.6,-1,864.1
2015,방한목적,뷰티/건강/치료,140,3.9,8.2,13.5,11.7,6.5,42.8,13.4,3626.2
2015,방한목적,쇼핑,1294,4.7,18.2,16.7,12.4,13.2,29.8,5.1,2517.9
2015,여행형태,개별여행,8749,22.7,23,15.5,10.1,10.7,15.4,2.7,1673.4
2015,여행형태,단체여행,3375,3.1,18.5,28.1,16.9,17.3,15.2,0.8,1908.4
2015,여행형태,Air-tel Tour,758,9.4,48.9,16.4,7.5,11.2,6.6,-1,1286.2
2015,방한횟수,1회,6949,13.3,21.9,21.4,13.1,13.8,15,1.5,1768.2
2015,방한횟수,2회,2097,15.1,23.3,17.8,12.4,12.9,16.4,2.2,1788.2
2015,방한횟수,3회,1015,19.1,24.4,17.5,9.6,10.6,15.7,3.2,1673.9
2015,방한횟수,4회 이상,2821,25.7,26.7,14,8.5,9.4,12.9,2.8,1530.7
2015,직업,공무원 군인,709,17.8,19.2,17.4,16.2,14,12.8,2.6,1670.5
2015,직업,기업인 경영직,1327,23.7,25.9,14.7,9.5,11.3,12.2,2.6,1533.9
2015,직업,사무기술직,2733,17.7,23.8,18.9,13.5,12.3,12.6,1.2,1610
2015,직업,판매 서비스직,1511,15.9,26.4,23.3,10.9,10.6,11.9,0.9,1548.4
2015,직업,전문직,1102,19.5,24.6,19.6,10.2,12.6,12.9,0.6,1578.7
2015,직업,생산/기능/노무,504,17.7,28.5,19.5,12.7,11.1,9.7,0.7,1418.8
2015,직업,자영업자,1450,10.1,13.1,18.2,12.6,14.3,25.4,6.2,2353.6
2015,직업,학생,1599,17,25.4,19.5,10.4,11.1,14.8,1.7,1707.4
2015,직업,주부,552,16.7,23.5,16,9.1,15.2,18,1.5,1887.9
2015,직업,은퇴자,293,15.4,28.1,19.2,12.7,12.1,11.9,0.5,1553.7
2015,직업,무직,258,15.9,28.8,11.9,10.1,17.7,13.5,2.2,1592.4
2015,직업,기타,783,11.5,21.6,20.7,11.1,13.2,19.1,2.8,1943.6
2015,직업,무응답,62,10.4,23.4,25,12.7,6.7,21.8,-1,1985.9
2016,전체,소계,12003,13.6,26.5,21.6,13.3,11.2,12.2,1.6,1625.3
2016,월별,1월,758,14.5,26.1,17,11.6,12.8,16.4,1.6,1771.8
2016,월별,2월,797,16.2,24,18,13.2,10.6,15.2,2.9,1763
2016,월별,3월,978,15.5,28.3,19.9,9.9,11.7,13.2,1.5,1616.5
2016,월별,4월,1032,18.1,25,23,11.9,12.9,7.8,1.2,1430.3
2016,월별,5월,1030,17.5,25.1,22.4,12.6,10,11,1.5,1520.5
2016,월별,6월,1080,15,26,20.7,13.2,9.5,13.9,1.7,1619.6
2016,월별,7월,1183,9.9,24.9,22.1,18.7,14.9,9.6,-1,1617.4
2016,월별,8월,1154,9.8,28.8,19.7,14.1,11.7,13.7,2.1,1681.5
2016,월별,9월,1046,11.4,24.8,24.7,13,11.1,13.2,1.9,1755.6
